2026-06-05 19:07:28 +0100: Memory Usage (439684K) : extblock_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : nldd_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : pldd_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : next_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : pext_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : nexthv_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : pexthv_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : graphgate_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : sinwg_drw has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : sinwg_filler has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : sinwg_nofill has 0 polygons
2026-06-05 19:07:28 +0100: Memory Usage (439684K) : mempad_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topvia1_drw has 664 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal1_drw has 8 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal1_pin has 8 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal1_mask has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal1_filler has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal1_nofill has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal1_slit has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal1_text has 8 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal1_noqrc has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal1_res has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal1_iprobe has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal1_diffprb has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : inldpwl_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : polyres_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : polyres_pin has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : vmim_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : nbulaycut_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : antmetal1_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topvia2_drw has 32 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal2_drw has 8 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal2_pin has 8 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal2_mask has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal2_filler has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal2_nofill has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal2_slit has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal2_text has 8 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal2_noqrc has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal2_res has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal2_iprobe has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : topmetal2_diffprb has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : snsring_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : sensor_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : snsarms_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : snscmosvia_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : colwind_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : flm_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : hafniumox_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : memvia_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : thinfilmres_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : rfmem_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m2m3 has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m2m4 has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m2m5 has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m2tm1 has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m2tm2 has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m3m4 has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m3m5 has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m3tm1 has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m3tm2 has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m4m5 has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m4tm1 has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m4tm2 has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m5tm1 has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m5tm2 has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_tm1tm2 has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m1sub has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m2sub has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m3sub has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m4sub has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_m5sub has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_tm1sub has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : norcx_tm2sub has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : snsbotvia_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : snstopvia_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : deepvia_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : fgetch_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : ctrgat_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : fgimp_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : emwihv_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : lbe_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : alcustop_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : nometfiller_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : prboundary_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : exchange0_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : exchange0_pin has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : exchange0_text has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : exchange1_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : exchange1_pin has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : exchange1_text has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : exchange2_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : exchange2_pin has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439684K) : exchange2_text has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439812K) : exchange3_drw has 0 polygons
2026-06-05 19:07:29 +0100: Memory Usage (439812K) : exchange3_pin has 0 polygons
