net,length_um
_2228_,84.64µm
net341,84.515µm
_0817_,84.125µm
net348,83.275µm
net304,83.24µm
_1871_,83.2µm
net150,83.145µm
_0580_,82.705µm
_1303_,82.405µm
net372,81.795µm
net344,81.75µm
_1850_,81.55µm
_2514_,81.51µm
_0927_,81.265µm
_0802_,81.185µm
_1873_,81.18µm
net102,80.63µm
net563,80.62µm
u_regfile.regs\[1\]\[16\],80.605µm
_0635_,80.55µm
net292,80.175µm
net426,79.65µm
net346,79.585µm
_1770_,79.44µm
_1440_,79.38µm
net315,79.37µm
_0530_,79.28µm
net318,79.16µm
net303,79.08µm
_1472_,78.95µm
_0689_,78.72µm
_0714_,78.43µm
net61,78.085µm
_1590_,78.01µm
_0988_,77.78µm
_1166_,77.65µm
_1239_,77.25µm
_1259_,77.225µm
_2130_,76.76µm
net316,76.505µm
_1524_,76.1µm
net64,75.35µm
net362,75.3µm
net536,75.195µm
_1185_,74.6µm
net62,74.475µm
_0791_,73.975µm
net541,73.775µm
net386,73.275µm
_0506_,73.27µm
_0713_,72.99µm
net549,72.865µm
net572,72.855µm
net359,72.31µm
net295,72.21µm
net283,71.92µm
net103,71.73µm
_0672_,71.705µm
_0534_,71.585µm
net535,71.555µm
net297,71.24µm
net310,71.125µm
net60,71.025µm
net333,70.76µm
_1450_,70.075µm
net387,70.065µm
_1512_,70.02µm
net300,69.84µm
net313,69.83µm
net113,69.66µm
net290,69.365µm
_0855_,69.24µm
_0728_,69.105µm
_0720_,68.965µm
_1407_,68.535µm
net70,68.23µm
net369,68.12µm
_0925_,68.095µm
net307,67.995µm
net291,67.355µm
net843,67.24µm
net159,67.03µm
_0906_,66.595µm
net63,65.945µm
net67,65.47µm
net293,65.165µm
net528,64.995µm
net69,64.92µm
_2385_,64.895µm
net355,64.46µm
net194,64.455µm
net380,63.41µm
net584,63.165µm
net289,63.08µm
_1092_,63.06µm
net608,63.01µm
_1960_,62.65µm
net35,62.47µm
_1332_,62.38µm
_1814_,62.335µm
_0669_,62.295µm
_0557_,62.2µm
net342,62.045µm
net586,61.65µm
_0814_,61.63µm
net552,61.615µm
net153,61.58µm
net358,61.525µm
net317,61.39µm
net65,61.26µm
net570,60.795µm
_0539_,60.735µm
_2087_,60.285µm
_1707_,60.24µm
net75,60.06µm
_1172_,59.84µm
net23,59.82µm
net573,59.805µm
_0767_,59.61µm
net521,59.51µm
net96,59.46µm
_1304_,59.18µm
net374,58.615µm
net399,58.435µm
_1602_,58.38µm
net2,58.32µm
_0560_,57.9µm
_1346_,57.805µm
_1941_,57.54µm
_1373_,57.235µm
_0759_,56.95µm
_0828_,56.87µm
_2355_,56.795µm
_1314_,56.675µm
_1516_,56.29µm
_1484_,56.23µm
net312,56.12µm
_0505_,55.93µm
_0844_,55.63µm
net3,55.62µm
_1442_,55.595µm
_1601_,55.56µm
_0749_,55.47µm
net349,55.425µm
_0600_,55.39µm
_1477_,55.345µm
_1344_,55.22µm
_2517_,55.09µm
_0531_,55.055µm
_0868_,55.045µm
net547,55.045µm
net279,54.99µm
_0835_,54.86µm
net87,54.8µm
_0562_,54.48µm
_1606_,54.03µm
_2120_,54µm
_0515_,53.9µm
_1297_,53.86µm
net561,53.835µm
_1826_,53.75µm
_0511_,53.58µm
_0972_,53.53µm
_1751_,53.22µm
_2422_,53.04µm
net412,53.005µm
net28,52.86µm
_1894_,52.68µm
_0857_,52.63µm
net544,52.56µm
_1505_,52.485µm
_1362_,52.43µm
_2132_,52.2µm
_1010_,52.1µm
_1544_,52µm
_1028_,51.84µm
_2124_,51.78µm
_0510_,51.61µm
_1434_,51.275µm
_0570_,51.08µm
_0649_,51.07µm
net27,50.94µm
net4,50.82µm
_1282_,50.7µm
_1486_,50.645µm
_2285_,50.31µm
_0837_,50.17µm
_1380_,50.05µm
net396,49.78µm
net169,49.63µm
net151,49.485µm
_1295_,49.33µm
_1979_,49.21µm
_1474_,48.895µm
net370,48.81µm
_2166_,48.44µm
net81,48.3µm
_0741_,48.12µm
_0696_,47.88µm
_0751_,47.48µm
_2390_,47.31µm
net597,47.245µm
net123,47.22µm
_1414_,47.185µm
_0549_,47.17µm
_0503_,47.1µm
_1398_,47.095µm
u_regfile.regs\[6\]\[8\],47.04µm
_1120_,46.93µm
_1441_,46.8µm
net163,46.74µm
_2442_,46.5µm
imem_addr[2],46.33µm
_1546_,46.18µm
u_regfile.regs\[4\]\[8\],46.075µm
net94,45.54µm
_0569_,45.44µm
net57,45.44µm
_0566_,45.36µm
_1256_,45.17µm
_0563_,45.145µm
_1940_,45.12µm
net296,45.11µm
_1417_,45.07µm
_1401_,45.055µm
_1576_,45.03µm
net116,44.88µm
_2261_,44.73µm
net56,44.475µm
_0912_,44.36µm
_1571_,44.325µm
_2494_,44.23µm
_0509_,44.1µm
_2320_,44.05µm
_0513_,44.04µm
dmem_addr[0],43.87µm
imem_data[2],43.81µm
net93,43.74µm
_1895_,43.63µm
_2332_,43.605µm
_1069_,43.58µm
_0830_,43.53µm
_2233_,43.42µm
io_wdata[6],43.39µm
io_wdata[9],43.33µm
_2405_,43.29µm
net6,43.2µm
_1134_,43.16µm
_0548_,42.94µm
_1348_,42.72µm
_2533_,42.72µm
u_regfile.regs\[3\]\[31\],42.72µm
_0928_,42.44µm
io_wdata[1],42.31µm
net53,42.215µm
net321,42.17µm
_0500_,42.01µm
_1815_,41.9µm
_2181_,41.71µm
_1470_,41.675µm
net189,41.58µm
_0595_,41.4µm
dmem_wdata[6],41.35µm
_1453_,41.295µm
net357,41.295µm
_0834_,41.29µm
_1984_,41.28µm
net51,41.24µm
_0991_,41.23µm
_1832_,41.11µm
io_rdata[11],41.05µm
_0831_,41.02µm
_0807_,40.93µm
net66,40.86µm
_0507_,40.8µm
net185,40.73µm
_1495_,40.665µm
_0721_,40.58µm
_1468_,40.51µm
_1587_,40.51µm
_1400_,40.435µm
imem_addr[0],40.39µm
_2089_,40.305µm
net149,40.225µm
_0796_,40.2µm
u_regfile.regs\[2\]\[27\],40.185µm
net171,40.025µm
dmem_rdata[5],39.97µm
