net,length_um
_1061_,8.4µm
_1801_,8.4µm
_1162_,8.36µm
_0365_,8.35µm
_0848_,8.345µm
_0361_,8.34µm
_1715_,8.34µm
_0633_,8.29µm
_1604_,8.29µm
u_regfile.regs\[3\]\[16\],8.29µm
_0336_,8.28µm
_0352_,8.28µm
_0442_,8.28µm
_1309_,8.265µm
_0356_,8.23µm
_0914_,8.23µm
_0157_,8.22µm
_0493_,8.22µm
_0719_,8.22µm
_1626_,8.22µm
_1771_,8.22µm
_2264_,8.22µm
_2536_,8.22µm
net158,8.22µm
_1425_,8.215µm
_2484_,8.2µm
_1181_,8.17µm
_1432_,8.17µm
_1511_,8.17µm
_1992_,8.17µm
_2099_,8.17µm
_2218_,8.17µm
_0030_,8.16µm
_0522_,8.16µm
_0675_,8.16µm
_1553_,8.16µm
_1951_,8.16µm
_2238_,8.16µm
net78,8.16µm
_1319_,8.13µm
_0088_,8.11µm
_0232_,8.11µm
_0359_,8.11µm
_1827_,8.11µm
_2418_,8.11µm
_2523_,8.11µm
net24,8.11µm
net214,8.11µm
net885,8.11µm
_1738_,8.1µm
_2469_,8.09µm
_1293_,8.085µm
_1199_,8.05µm
u_regfile.regs\[3\]\[5\],8.05µm
_1029_,8.04µm
_1130_,8.04µm
io_wdata[5],8.04µm
_0608_,8.035µm
_1436_,8.035µm
_0488_,8.02µm
_0459_,7.99µm
_1462_,7.99µm
_1533_,7.99µm
_2447_,7.99µm
u_regfile.regs\[5\]\[0\],7.99µm
_1171_,7.98µm
_0797_,7.94µm
_2478_,7.94µm
net646,7.94µm
net712,7.94µm
net723,7.94µm
net736,7.94µm
net797,7.94µm
net871,7.94µm
_0692_,7.93µm
_0813_,7.93µm
_0820_,7.93µm
_0983_,7.93µm
_1063_,7.93µm
_1116_,7.93µm
_1228_,7.93µm
_1429_,7.93µm
_1758_,7.93µm
_2386_,7.93µm
_0815_,7.925µm
_1204_,7.92µm
_1252_,7.92µm
_1744_,7.92µm
u_pc.pc_next\[15\],7.92µm
_0986_,7.89µm
_0680_,7.88µm
_1136_,7.88µm
_0357_,7.87µm
_1882_,7.865µm
_2452_,7.825µm
_2147_,7.82µm
_0895_,7.81µm
_1717_,7.81µm
_0278_,7.8µm
_1839_,7.8µm
_2030_,7.77µm
net724,7.75µm
net798,7.75µm
_0466_,7.74µm
_0574_,7.74µm
_2361_,7.74µm
_0833_,7.73µm
_1847_,7.73µm
u_regfile.regs\[5\]\[21\],7.725µm
_1756_,7.7µm
_0007_,7.69µm
_0707_,7.69µm
_1325_,7.69µm
_1766_,7.69µm
_1967_,7.69µm
net207,7.69µm
net218,7.69µm
_0005_,7.68µm
_0044_,7.68µm
_0165_,7.68µm
_0170_,7.68µm
_0194_,7.68µm
_0519_,7.68µm
_0620_,7.68µm
_1274_,7.68µm
_1324_,7.68µm
_1655_,7.68µm
_1667_,7.68µm
_2006_,7.68µm
_2088_,7.68µm
_2413_,7.68µm
net181,7.68µm
_0761_,7.635µm
_0428_,7.63µm
_0993_,7.63µm
_1427_,7.63µm
_1665_,7.63µm
net623,7.63µm
_0130_,7.62µm
rst,7.62µm
dmem_wdata[10],7.62µm
io_wdata[10],7.62µm
io_wdata[19],7.62µm
_1021_,7.57µm
_1148_,7.57µm
_1277_,7.57µm
_1326_,7.57µm
_1860_,7.57µm
_1862_,7.57µm
_1952_,7.57µm
_2375_,7.57µm
imem_addr[15],7.57µm
imem_addr[22],7.57µm
io_wdata[24],7.57µm
_1048_,7.56µm
_1126_,7.56µm
_1369_,7.56µm
_1911_,7.56µm
u_pc.pc_next\[21\],7.56µm
_1082_,7.555µm
_1937_,7.555µm
net215,7.555µm
net675,7.555µm
_1455_,7.545µm
_1535_,7.52µm
_1364_,7.515µm
_2165_,7.515µm
_0348_,7.51µm
_0355_,7.51µm
_1716_,7.51µm
_0363_,7.5µm
_2129_,7.46µm
_2504_,7.46µm
net735,7.46µm
net788,7.46µm
net796,7.46µm
net801,7.46µm
net804,7.46µm
_0916_,7.45µm
_1025_,7.45µm
_1169_,7.45µm
_1900_,7.45µm
_2040_,7.45µm
_0431_,7.44µm
_1129_,7.44µm
_0596_,7.39µm
_1518_,7.39µm
_1526_,7.39µm
u_pc.pc_next\[22\],7.38µm
_0904_,7.365µm
_2488_,7.355µm
_0486_,7.35µm
net131,7.35µm
_1399_,7.33µm
_0818_,7.32µm
_1105_,7.3µm
_0354_,7.27µm
_0434_,7.27µm
_0544_,7.27µm
_1537_,7.27µm
_0117_,7.26µm
_0228_,7.26µm
_1261_,7.26µm
_1419_,7.26µm
_1710_,7.26µm
_1721_,7.26µm
_2047_,7.26µm
_2079_,7.26µm
_2384_,7.26µm
net855,7.26µm
imem_addr[21],7.255µm
_2325_,7.24µm
net692,7.24µm
_0106_,7.21µm
_0153_,7.21µm
_0383_,7.21µm
_0527_,7.21µm
_0742_,7.21µm
_1588_,7.21µm
_1763_,7.21µm
_1783_,7.21µm
_2439_,7.21µm
net631,7.21µm
_0926_,7.2µm
_1493_,7.2µm
_1698_,7.2µm
_1745_,7.2µm
_2107_,7.2µm
_2203_,7.2µm
_2454_,7.2µm
dmem_wdata[12],7.2µm
dmem_wdata[22],7.2µm
io_wdata[13],7.2µm
io_wdata[2],7.2µm
net684,7.175µm
net722,7.175µm
_0412_,7.15µm
_0438_,7.15µm
_0776_,7.15µm
_0786_,7.15µm
_1409_,7.15µm
_1846_,7.15µm
_1908_,7.15µm
_2150_,7.15µm
dmem_addr[24],7.15µm
dmem_wr,7.15µm
net769,7.15µm
_0217_,7.14µm
_0322_,7.14µm
_0367_,7.14µm
_2208_,7.135µm
dmem_wdata[31],7.1µm
io_wdata[25],7.1µm
_1288_,7.09µm
net860,7.09µm
_0657_,7.08µm
_1352_,7.08µm
_2339_,7.08µm
_0896_,7.075µm
_1674_,7.075µm
_0508_,7.04µm
_0638_,7.03µm
net108,7.03µm
_0489_,7.02µm
_1762_,7.02µm
_2037_,7.02µm
_2401_,6.98µm
u_pc.pc_next\[30\],6.98µm
net693,6.98µm
net709,6.98µm
net711,6.98µm
net715,6.98µm
net726,6.98µm
net732,6.98µm
net737,6.98µm
net741,6.98µm
net754,6.98µm
net758,6.98µm
net761,6.98µm
net776,6.98µm
net784,6.98µm
net785,6.98µm
net789,6.98µm
net799,6.98µm
net800,6.98µm
net821,6.98µm
_0673_,6.97µm
_0965_,6.97µm
_1153_,6.97µm
_1360_,6.97µm
_1539_,6.97µm
_1607_,6.97µm
_1869_,6.97µm
_2126_,6.97µm
_2169_,6.96µm
_2458_,6.96µm
_0869_,6.935µm
net217,6.92µm
net698,6.92µm
_2195_,6.91µm
_1037_,6.9µm
net117,6.885µm
_2321_,6.87µm
_1780_,6.86µm
_0341_,6.84µm
_0441_,6.84µm
_0683_,6.84µm
_1392_,6.84µm
_0922_,6.805µm
_0036_,6.78µm
_0162_,6.78µm
_0407_,6.78µm
_1592_,6.78µm
_1658_,6.78µm
_2054_,6.78µm
_2060_,6.78µm
_2064_,6.78µm
_2269_,6.78µm
_2280_,6.78µm
_2314_,6.78µm
imem_data[25],6.78µm
dmem_wdata[20],6.78µm
dmem_wdata[4],6.78µm
io_wdata[12],6.78µm
io_wdata[22],6.78µm
_1525_,6.765µm
_1473_,6.75µm
_0421_,6.73µm
_0494_,6.73µm
_0516_,6.73µm
_0709_,6.73µm
_0731_,6.73µm
_0781_,6.73µm
_1039_,6.73µm
_1500_,6.73µm
_1909_,6.73µm
_2163_,6.73µm
u_regfile.regs\[5\]\[1\],6.73µm
dmem_wdata[21],6.73µm
dmem_wdata[2],6.73µm
io_wdata[20],6.73µm
io_wdata[3],6.73µm
net857,6.73µm
_0116_,6.72µm
_0220_,6.72µm
_0601_,6.72µm
_1934_,6.72µm
_2214_,6.72µm
_2299_,6.72µm
_2353_,6.72µm
_2354_,6.72µm
imem_addr[25],6.68µm
_0024_,6.67µm
_0252_,6.67µm
_0264_,6.67µm
_0422_,6.67µm
_0475_,6.67µm
_0490_,6.67µm
_0706_,6.67µm
_0968_,6.67µm
_1198_,6.67µm
_2142_,6.67µm
_2309_,6.67µm
net620,6.67µm
net742,6.67µm
net869,6.67µm
net886,6.67µm
_0017_,6.66µm
_0268_,6.66µm
_0404_,6.66µm
_0795_,6.66µm
_1358_,6.66µm
_1041_,6.645µm
_0528_,6.62µm
_0461_,6.61µm
_0879_,6.61µm
_2000_,6.61µm
_2480_,6.61µm
_0427_,6.6µm
_1283_,6.6µm
_1519_,6.6µm
_2183_,6.6µm
_0953_,6.595µm
_1054_,6.595µm
_1422_,6.595µm
_2026_,6.595µm
net121,6.595µm
net678,6.595µm
net760,6.595µm
net841,6.595µm
_1804_,6.58µm
_1567_,6.56µm
_1596_,6.56µm
_0440_,6.55µm
_1999_,6.55µm
_0852_,6.54µm
_1026_,6.54µm
_1071_,6.54µm
_2178_,6.54µm
_0824_,6.535µm
_1670_,6.505µm
_0631_,6.5µm
_1080_,6.5µm
net629,6.5µm
net648,6.5µm
net653,6.5µm
net662,6.5µm
net665,6.5µm
net667,6.5µm
net682,6.5µm
net685,6.5µm
net686,6.5µm
net697,6.5µm
net707,6.5µm
net713,6.5µm
net719,6.5µm
net729,6.5µm
net734,6.5µm
net749,6.5µm
net759,6.5µm
net768,6.5µm
net775,6.5µm
_0426_,6.49µm
_1190_,6.49µm
_1475_,6.49µm
_1657_,6.49µm
_2032_,6.49µm
_1308_,6.48µm
_1653_,6.48µm
_0954_,6.475µm
_0640_,6.47µm
_0959_,6.44µm
_1264_,6.43µm
_1186_,6.42µm
_0604_,6.39µm
_1081_,6.38µm
_0533_,6.37µm
_1998_,6.37µm
_2156_,6.37µm
_0328_,6.36µm
_0343_,6.36µm
_0366_,6.36µm
_1135_,6.36µm
_1671_,6.36µm
dmem_wdata[5],6.36µm
net621,6.36µm
_0118_,6.345µm
_1149_,6.345µm
net889,6.34µm
_0415_,6.31µm
_1333_,6.31µm
dmem_wdata[19],6.31µm
io_wdata[16],6.31µm
io_wdata[18],6.31µm
io_wdata[4],6.31µm
_0006_,6.3µm
_0091_,6.3µm
_0108_,6.3µm
_0112_,6.3µm
_0535_,6.3µm
_0716_,6.3µm
_0732_,6.3µm
_1155_,6.3µm
_1307_,6.3µm
_1805_,6.3µm
_2052_,6.3µm
_2395_,6.3µm
_1977_,6.28µm
_0016_,6.25µm
_0060_,6.25µm
_0496_,6.25µm
_0929_,6.25µm
_1020_,6.25µm
_1238_,6.25µm
_1281_,6.25µm
_1449_,6.25µm
_1482_,6.25µm
_2149_,6.25µm
_2537_,6.25µm
_2538_,6.25µm
_1702_,6.24µm
_2194_,6.24µm
_1555_,6.195µm
net16,6.195µm
_0134_,6.19µm
_0189_,6.19µm
_0213_,6.19µm
_0419_,6.19µm
_0472_,6.19µm
_1413_,6.19µm
_2118_,6.19µm
net624,6.19µm
net633,6.19µm
net792,6.19µm
_0020_,6.185µm
_0266_,6.18µm
_0346_,6.18µm
_0425_,6.18µm
_2283_,6.18µm
_1111_,6.175µm
_1835_,6.165µm
_1988_,6.14µm
_2294_,6.14µm
_1060_,6.135µm
_0119_,6.13µm
_1639_,6.13µm
_2265_,6.13µm
_0329_,6.12µm
_0393_,6.12µm
_0666_,6.12µm
_0898_,6.12µm
_1813_,6.12µm
_0019_,6.115µm
_2368_,6.115µm
net127,6.115µm
_0258_,6.105µm
_0944_,6.09µm
_0540_,6.08µm
_0411_,6.07µm
_2241_,6.055µm
_0090_,6.02µm
_0216_,6.02µm
_1108_,6.02µm
_1159_,6.02µm
_1426_,6.02µm
net651,6.02µm
net660,6.02µm
net689,6.02µm
net699,6.02µm
net703,6.02µm
net710,6.02µm
net739,6.02µm
net740,6.02µm
net743,6.02µm
net746,6.02µm
net747,6.02µm
net751,6.02µm
net753,6.02µm
net755,6.02µm
net771,6.02µm
net779,6.02µm
net780,6.02µm
net805,6.02µm
net837,6.02µm
_0806_,6.01µm
_0826_,6.01µm
_1833_,6.01µm
_1902_,6.01µm
_2227_,6.01µm
_2263_,6.01µm
_2298_,6.01µm
_0047_,6µm
_1151_,6µm
_1265_,6µm
_1276_,6µm
_1747_,6µm
_2097_,6µm
_1824_,5.99µm
net727,5.96µm
_1254_,5.95µm
_2192_,5.89µm
_0345_,5.88µm
_0453_,5.88µm
_0740_,5.88µm
_0798_,5.88µm
_1331_,5.88µm
_1508_,5.88µm
_1737_,5.88µm
net822,5.88µm
_0582_,5.84µm
net816,5.83µm
_1896_,5.82µm
_1905_,5.82µm
_2394_,5.82µm
_0183_,5.77µm
_0956_,5.77µm
_1142_,5.77µm
_1754_,5.77µm
net625,5.77µm
_0069_,5.76µm
_0963_,5.76µm
_1164_,5.76µm
_1367_,5.76µm
_1757_,5.76µm
_2104_,5.76µm
_0080_,5.71µm
_0368_,5.71µm
_0985_,5.71µm
_1548_,5.71µm
_1823_,5.71µm
_2035_,5.71µm
_2053_,5.71µm
_2453_,5.71µm
net213,5.71µm
u_pc.pc_next\[3\],5.71µm
net622,5.71µm
net641,5.71µm
_0251_,5.7µm
_0261_,5.7µm
_0403_,5.7µm
_0435_,5.7µm
_1106_,5.65µm
_1931_,5.65µm
_2038_,5.65µm
_2242_,5.65µm
_0399_,5.64µm
_0616_,5.64µm
_0677_,5.64µm
_1087_,5.64µm
_1177_,5.64µm
_1743_,5.64µm
_1929_,5.64µm
_2224_,5.64µm
_2343_,5.64µm
net200,5.635µm
net211,5.635µm
net223,5.635µm
_0275_,5.59µm
_1878_,5.59µm
_2232_,5.59µm
_1066_,5.58µm
net777,5.545µm
_0089_,5.54µm
_0215_,5.54µm
_0774_,5.54µm
_1712_,5.54µm
_2098_,5.54µm
_2317_,5.54µm
net613,5.54µm
net731,5.54µm
net745,5.54µm
net787,5.54µm
net791,5.54µm
net806,5.54µm
net812,5.54µm
net826,5.54µm
net865,5.54µm
net887,5.54µm
_0989_,5.53µm
_1664_,5.53µm
_1690_,5.53µm
_1694_,5.53µm
_0656_,5.52µm
_2096_,5.52µm
_0865_,5.48µm
_2082_,5.47µm
_2111_,5.47µm
_2240_,5.47µm
net757,5.47µm
_1640_,5.445µm
_2271_,5.445µm
_1339_,5.4µm
_1722_,5.4µm
_1974_,5.4µm
net210,5.4µm
net649,5.4µm
_0248_,5.385µm
_0836_,5.365µm
_0448_,5.35µm
_0960_,5.35µm
u_pc.pc_next\[19\],5.35µm
_0151_,5.34µm
_0187_,5.34µm
_0207_,5.34µm
_0319_,5.34µm
_0347_,5.34µm
_0467_,5.34µm
_0485_,5.34µm
_0994_,5.34µm
_1351_,5.34µm
_1583_,5.34µm
_1589_,5.34µm
_1740_,5.34µm
_2146_,5.34µm
_2525_,5.34µm
net25,5.34µm
_0247_,5.29µm
_0690_,5.29µm
_0790_,5.29µm
_0952_,5.29µm
_1234_,5.29µm
_1938_,5.29µm
_2039_,5.29µm
net872,5.29µm
_0396_,5.28µm
_0558_,5.28µm
_1632_,5.28µm
_1946_,5.28µm
_2226_,5.28µm
_0263_,5.23µm
_0315_,5.23µm
_0400_,5.23µm
_0409_,5.23µm
net19,5.23µm
net86,5.23µm
net222,5.23µm
net634,5.23µm
_0335_,5.22µm
_0362_,5.22µm
_0374_,5.22µm
_0408_,5.22µm
_0454_,5.22µm
_1286_,5.22µm
_1318_,5.22µm
_1672_,5.22µm
_1985_,5.22µm
net884,5.19µm
_0750_,5.18µm
_0430_,5.16µm
_0717_,5.16µm
_0940_,5.16µm
_1074_,5.16µm
_1127_,5.16µm
_2481_,5.16µm
_1013_,5.155µm
_1317_,5.155µm
_1559_,5.155µm
_1631_,5.155µm
_1986_,5.155µm
u_regfile.regs\[3\]\[7\],5.155µm
net700,5.155µm
_1076_,5.125µm
_1649_,5.1µm
_1926_,5.1µm
_0718_,5.095µm
_0146_,5.06µm
_0257_,5.06µm
_1075_,5.06µm
net655,5.06µm
net666,5.06µm
net672,5.06µm
net702,5.06µm
net704,5.06µm
net718,5.06µm
net762,5.06µm
net767,5.06µm
net774,5.06µm
net828,5.06µm
_0999_,5.05µm
_1007_,5.05µm
_1045_,5.05µm
_1650_,5.05µm
_1759_,5.05µm
_1972_,5.05µm
_2257_,5.05µm
_1122_,5.04µm
_1689_,5µm
_0590_,4.99µm
_0866_,4.99µm
_1357_,4.99µm
_1464_,4.99µm
_1891_,4.99µm
_2075_,4.99µm
u_pc.pc_next\[28\],4.98µm
net819,4.98µm
_1446_,4.965µm
_1577_,4.96µm
_2041_,4.94µm
_1669_,4.92µm
_1741_,4.92µm
_1810_,4.92µm
_1976_,4.92µm
_2020_,4.92µm
_2402_,4.92µm
_2423_,4.92µm
_2464_,4.92µm
net80,4.92µm
_0624_,4.9µm
_0417_,4.87µm
_0449_,4.87µm
_0102_,4.86µm
_0131_,4.86µm
_0269_,4.86µm
_0274_,4.86µm
_0304_,4.86µm
_0339_,4.86µm
_0410_,4.86µm
_0480_,4.86µm
_1320_,4.86µm
_1854_,4.86µm
_2260_,4.86µm
_1257_,4.81µm
_1691_,4.81µm
_2421_,4.81µm
_2526_,4.81µm
net220,4.81µm
u_pc.pc_next\[2\],4.81µm
_2365_,4.8µm
_2139_,4.755µm
_0086_,4.75µm
_0710_,4.75µm
_1006_,4.75µm
_1675_,4.75µm
_1680_,4.75µm
_2336_,4.75µm
net1,4.75µm
_0279_,4.74µm
_0307_,4.74µm
_0316_,4.74µm
_0349_,4.74µm
_0418_,4.74µm
_0436_,4.74µm
_0463_,4.74µm
_0471_,4.74µm
_1003_,4.74µm
_1292_,4.74µm
_1461_,4.74µm
_2085_,4.74µm
_1040_,4.69µm
_0621_,4.68µm
_0682_,4.68µm
_1058_,4.68µm
_1099_,4.68µm
_1287_,4.68µm
_1483_,4.68µm
_1534_,4.68µm
_1725_,4.68µm
_1728_,4.68µm
_1845_,4.68µm
_1885_,4.68µm
_1971_,4.68µm
_1997_,4.68µm
_2019_,4.68µm
_2022_,4.68µm
_2236_,4.68µm
u_pc.pc_next\[18\],4.68µm
_1644_,4.675µm
_2048_,4.675µm
net206,4.675µm
net716,4.675µm
net748,4.675µm
net861,4.675µm
_2318_,4.665µm
_1377_,4.655µm
_2123_,4.62µm
_1842_,4.615µm
_1088_,4.605µm
_0788_,4.58µm
_1011_,4.58µm
net627,4.58µm
net652,4.58µm
net690,4.58µm
net708,4.58µm
net832,4.58µm
net878,4.58µm
_0901_,4.57µm
_1064_,4.57µm
_1235_,4.57µm
_1636_,4.57µm
_1677_,4.57µm
_1870_,4.57µm
_1892_,4.57µm
_2012_,4.57µm
_2061_,4.57µm
_2122_,4.57µm
_2404_,4.57µm
_0037_,4.56µm
_1996_,4.56µm
_1174_,4.52µm
_0658_,4.51µm
_0962_,4.51µm
_0998_,4.51µm
_1197_,4.51µm
_1437_,4.51µm
_0457_,4.5µm
_1778_,4.5µm
net204,4.485µm
_0281_,4.44µm
_0686_,4.44µm
_1124_,4.44µm
_1179_,4.44µm
_1336_,4.44µm
_1394_,4.44µm
_1638_,4.44µm
_1723_,4.44µm
_1750_,4.44µm
_2058_,4.44µm
_2094_,4.44µm
u_pc.pc_next\[26\],4.44µm
_0524_,4.425µm
_0219_,4.39µm
_0068_,4.38µm
_0149_,4.38µm
_0168_,4.38µm
_0205_,4.38µm
_0286_,4.38µm
_0320_,4.38µm
_0321_,4.38µm
_0350_,4.38µm
_0384_,4.38µm
_0398_,4.38µm
_0447_,4.38µm
_1104_,4.38µm
_1180_,4.38µm
_1260_,4.38µm
_1597_,4.38µm
_1729_,4.38µm
_2344_,4.38µm
_2357_,4.38µm
_2360_,4.38µm
_2408_,4.38µm
_2414_,4.38µm
_2470_,4.38µm
_2531_,4.38µm
net854,4.38µm
net876,4.38µm
_0045_,4.33µm
_0225_,4.33µm
_1070_,4.33µm
_1098_,4.33µm
_1226_,4.33µm
_2251_,4.33µm
_0700_,4.32µm
_0805_,4.32µm
_0843_,4.32µm
_0966_,4.32µm
_1212_,4.32µm
_1619_,4.32µm
_1661_,4.32µm
_1865_,4.32µm
_1906_,4.32µm
_2215_,4.32µm
_0439_,4.29µm
_0729_,4.27µm
_0771_,4.27µm
_1375_,4.27µm
_1490_,4.27µm
_1812_,4.27µm
_2154_,4.27µm
_0265_,4.26µm
_0290_,4.26µm
_0291_,4.26µm
_0299_,4.26µm
_0314_,4.26µm
_0323_,4.26µm
_0332_,4.26µm
_0340_,4.26µm
_0392_,4.26µm
_0433_,4.26µm
_0458_,4.26µm
_0464_,4.26µm
_0468_,4.26µm
_0477_,4.26µm
_0478_,4.26µm
_0479_,4.26µm
_0819_,4.26µm
_1196_,4.26µm
_1557_,4.26µm
_1837_,4.26µm
_2259_,4.26µm
_2419_,4.26µm
net687,4.26µm
_2219_,4.22µm
_1760_,4.21µm
_2493_,4.21µm
_0048_,4.2µm
_0099_,4.2µm
_0282_,4.2µm
_1170_,4.2µm
_1306_,4.2µm
net647,4.2µm
net829,4.2µm
_0079_,4.195µm
_0191_,4.195µm
_1207_,4.195µm
_2287_,4.195µm
net201,4.195µm
_1009_,4.185µm
_0364_,4.17µm
_1110_,4.14µm
_1078_,4.135µm
_1109_,4.125µm
_2141_,4.125µm
_0027_,4.1µm
_0127_,4.1µm
_0137_,4.1µm
_0174_,4.1µm
_0179_,4.1µm
_1086_,4.1µm
_1868_,4.1µm
_2067_,4.1µm
net617,4.1µm
net694,4.1µm
net717,4.1µm
net781,4.1µm
_0166_,4.09µm
_0184_,4.09µm
_0665_,4.09µm
_1033_,4.09µm
_1143_,4.09µm
_1187_,4.09µm
_1279_,4.09µm
_1341_,4.09µm
_1933_,4.09µm
_1956_,4.09µm
_2042_,4.09µm
_2044_,4.09µm
_2213_,4.09µm
net643,4.09µm
net847,4.09µm
_0812_,4.08µm
_1890_,4.08µm
_2063_,4.08µm
_2140_,4.08µm
_0010_,4.04µm
_0245_,4.04µm
_1781_,4.035µm
_1015_,4.02µm
_1517_,4.02µm
_2196_,3.99µm
_0975_,3.97µm
_0023_,3.96µm
_0034_,3.96µm
_0058_,3.96µm
_0201_,3.96µm
_0733_,3.96µm
_1053_,3.96µm
_1057_,3.96µm
_1062_,3.96µm
_1218_,3.96µm
_1412_,3.96µm
_1746_,3.96µm
_1886_,3.96µm
_1958_,3.96µm
_2106_,3.96µm
_2403_,3.96µm
net626,3.96µm
_2275_,3.945µm
net224,3.945µm
_0001_,3.9µm
_0011_,3.9µm
_0013_,3.9µm
_0015_,3.9µm
_0053_,3.9µm
_0055_,3.9µm
_0115_,3.9µm
_0128_,3.9µm
_0142_,3.9µm
_0147_,3.9µm
_0223_,3.9µm
_0233_,3.9µm
_0235_,3.9µm
_0302_,3.9µm
_0310_,3.9µm
_0317_,3.9µm
_0318_,3.9µm
_0402_,3.9µm
_0432_,3.9µm
_0473_,3.9µm
_0481_,3.9µm
_0646_,3.9µm
_0789_,3.9µm
_0919_,3.9µm
_1121_,3.9µm
_1350_,3.9µm
_1678_,3.9µm
_1697_,3.9µm
_1806_,3.9µm
_2137_,3.9µm
_2193_,3.9µm
_2248_,3.9µm
_2267_,3.9µm
_2276_,3.9µm
_2528_,3.9µm
net82,3.9µm
net202,3.9µm
u_pc.pc_next\[27\],3.9µm
u_regfile.regs\[6\]\[3\],3.9µm
net635,3.9µm
_1970_,3.87µm
net10,3.85µm
_1019_,3.84µm
_1139_,3.84µm
_1549_,3.84µm
_1685_,3.84µm
_1928_,3.84µm
_2043_,3.84µm
_0158_,3.815µm
_1141_,3.8µm
_0306_,3.78µm
_0337_,3.78µm
_0394_,3.78µm
_0976_,3.78µm
_1145_,3.78µm
_1676_,3.78µm
_2221_,3.78µm
_0004_,3.72µm
_0035_,3.72µm
_0042_,3.72µm
_0072_,3.72µm
_0104_,3.72µm
_0109_,3.72µm
_0122_,3.72µm
_0129_,3.72µm
_0141_,3.72µm
_0154_,3.72µm
_0169_,3.72µm
_0180_,3.72µm
_0192_,3.72µm
_0196_,3.72µm
_0197_,3.72µm
_0237_,3.72µm
_0244_,3.72µm
_0250_,3.72µm
_0255_,3.72µm
_2005_,3.72µm
_2371_,3.72µm
_2451_,3.72µm
net638,3.72µm
_0000_,3.715µm
_0039_,3.715µm
_0061_,3.715µm
_0067_,3.715µm
_0084_,3.715µm
_0094_,3.715µm
_0100_,3.715µm
_0148_,3.715µm
_0188_,3.715µm
_0218_,3.715µm
_0259_,3.715µm
_0760_,3.715µm
_1366_,3.715µm
_2114_,3.715µm
_2466_,3.715µm
_1219_,3.7µm
_1008_,3.665µm
_1175_,3.66µm
_1444_,3.66µm
_2051_,3.66µm
_2091_,3.655µm
_0661_,3.645µm
_1012_,3.63µm
_2190_,3.63µm
_2247_,3.625µm
_0003_,3.62µm
_0012_,3.62µm
_0026_,3.62µm
_0029_,3.62µm
_0031_,3.62µm
_0032_,3.62µm
_0033_,3.62µm
_0056_,3.62µm
_0063_,3.62µm
_0074_,3.62µm
_0081_,3.62µm
_0083_,3.62µm
_0093_,3.62µm
_0095_,3.62µm
_0097_,3.62µm
_0101_,3.62µm
_0107_,3.62µm
_0111_,3.62µm
_0121_,3.62µm
_0123_,3.62µm
_0124_,3.62µm
_0125_,3.62µm
_0133_,3.62µm
_0156_,3.62µm
_0167_,3.62µm
_0175_,3.62µm
_0177_,3.62µm
_0181_,3.62µm
_0182_,3.62µm
_0185_,3.62µm
_0202_,3.62µm
_0206_,3.62µm
_0208_,3.62µm
_0211_,3.62µm
_0212_,3.62µm
_0226_,3.62µm
_0230_,3.62µm
_0234_,3.62µm
_0236_,3.62µm
_0238_,3.62µm
_0935_,3.62µm
_1114_,3.62µm
_2366_,3.62µm
net640,3.62µm
net807,3.62µm
net877,3.62µm
_0924_,3.61µm
_0950_,3.61µm
_1018_,3.61µm
_1192_,3.61µm
_1499_,3.61µm
_1568_,3.61µm
_1692_,3.61µm
_1727_,3.61µm
_1736_,3.61µm
_1884_,3.61µm
_2027_,3.61µm
_2049_,3.61µm
_2204_,3.61µm
_2237_,3.61µm
_2437_,3.61µm
net74,3.61µm
_2057_,3.6µm
net226,3.6µm
_1866_,3.585µm
_0859_,3.55µm
_0297_,3.54µm
_0455_,3.54µm
_0199_,3.52µm
_0040_,3.48µm
_0139_,3.48µm
_0163_,3.48µm
_0172_,3.48µm
_0190_,3.48µm
_0198_,3.48µm
_0204_,3.48µm
_0222_,3.48µm
_0491_,3.48µm
_1059_,3.48µm
_1077_,3.48µm
_1173_,3.48µm
_1343_,3.48µm
_1445_,3.48µm
_1708_,3.48µm
_1719_,3.48µm
_1785_,3.48µm
_1859_,3.48µm
_1876_,3.48µm
_1954_,3.48µm
_1982_,3.48µm
_2013_,3.48µm
_2311_,3.48µm
_2515_,3.48µm
_2530_,3.48µm
net109,3.48µm
u_regfile.regs\[5\]\[14\],3.48µm
_2197_,3.46µm
_1100_,3.45µm
_0041_,3.42µm
_0062_,3.42µm
_0078_,3.42µm
_0135_,3.42µm
_0159_,3.42µm
_0160_,3.42µm
_0195_,3.42µm
_0210_,3.42µm
_0242_,3.42µm
_0260_,3.42µm
_0293_,3.42µm
_0309_,3.42µm
_0313_,3.42µm
_0324_,3.42µm
_0325_,3.42µm
_0338_,3.42µm
_0371_,3.42µm
_0373_,3.42µm
_0382_,3.42µm
_0387_,3.42µm
_0391_,3.42µm
_0397_,3.42µm
_0450_,3.42µm
_0456_,3.42µm
_0460_,3.42µm
_0474_,3.42µm
_0487_,3.42µm
_0821_,3.42µm
_0858_,3.42µm
_1042_,3.42µm
_1047_,3.42µm
_1342_,3.42µm
_1514_,3.42µm
_1522_,3.42µm
_1569_,3.42µm
_1773_,3.42µm
_1858_,3.42µm
_1917_,3.42µm
_1942_,3.42µm
_1945_,3.42µm
_2003_,3.42µm
_2273_,3.42µm
_2378_,3.42µm
_2429_,3.42µm
_2483_,3.42µm
net11,3.42µm
net17,3.42µm
net18,3.42µm
